Countries,Total Cases,Total Deaths,Total Recovered,Serious,Tot Death/1M pop,Tot Tests,Tot Tests/1M pop,Population
Lebanon,"12,43,838","10,952","10,87,587","1,45,299","1,86,068","1,638","47,95,578","7,17,380"
Costa Rica,"12,38,883","9,428",568,90,"2,39,058","1,819","46,59,757","8,99,158"
Bolivia,"12,12,131","22,407","11,77,145","12,579","1,01,073","1,868","27,10,261","2,25,993"
Tunisia,"11,53,361","29,423",906,89,"95,741","2,442","50,13,383","4,16,164"
Cuba,"11,15,251","8,530","11,06,660",61,"98,645",754,"1,44,02,674","12,73,936"
Ecuador,"10,70,188","36,043","10,34,145",0,"59,083","1,990","30,82,403","1,70,173"
UAE,"10,67,030","2,349",78,89,"1,05,837",233,"20,07,32,262","1,99,10,389"
Panama,"10,59,893","8,727","10,51,102",64,"2,38,341","1,962","78,82,622","17,72,585"
Uruguay,"10,41,111","7,664","10,30,944","2,503","2,97,799","2,192","61,14,822","17,49,083"
Mongolia,"10,11,496","2,284","10,09,212",0,"2,99,429",676,"40,30,048","11,93,000"
Nepal,"10,03,450","12,031","9,91,322",97,"33,199",398,"60,47,766","2,00,088"
Belarus,"9,94,037","7,118","9,85,592","1,327","1,05,381",755,"1,36,46,641","14,46,722"
Latvia,"9,82,505","6,715","9,71,406","4,384","5,31,418","3,632","78,85,792","42,65,272"
Saudi Arabia,"8,41,469","9,646",235,890,"23,475",269,"4,54,81,735","12,68,848"
Paraguay,"8,37,602","20,155",789,789,"1,14,648","2,759","26,57,506","3,63,751"
Azerbaijan,"8,35,234","10,400","8,24,089",745,"81,089","1,010","77,48,050","7,52,223"
Bahrain,"7,29,549","1,574","7,27,915",60,"4,08,944",882,"1,09,48,549","61,37,138"
Cyprus,"6,81,110","1,365","6,79,745",0,"5,56,741","1,116","96,40,118","78,79,860"
Dominican Republic,"6,75,890","4,384","6,71,316",190,"61,131",397,"37,40,928","3,38,350"
Sri Lanka,"6,72,754","16,897","6,55,852",5,"31,181",783,"64,86,117","3,00,619"
Kuwait,"6,67,158","2,570",678,90,"1,52,308",587,"84,55,743","19,30,391"
Myanmar,"6,41,873","19,495","6,20,159","2,219","11,622",353,"1,17,11,514","2,12,061"
Moldova,"6,35,145","12,218",789,78,"1,58,265","3,044","32,16,305","8,01,437"
Estonia,"6,28,070","3,001",908,67,"4,75,123","2,270","69,68,103","52,71,239"
Palestine,"6,21,008","5,404","6,15,445",159,"1,16,173","1,011","30,78,533","5,75,907"
Venezuela,"5,52,695","5,856","5,46,537",302,"18,885",200,"33,59,014","1,14,771"
Egypt,"5,16,023","24,613","4,42,182","49,228","4,861",232,"36,93,367","34,792"
Qatar,"5,14,524",690,"5,13,687",147,"1,72,664",232,"40,65,369","13,64,257"
Libya,"5,07,274","6,437","5,00,835",2,"72,048",914,"24,83,848","3,52,782"
Ethiopia,"5,01,157","7,574","4,88,171","5,412","4,148",63,"55,65,340","46,066"
Réunion,"4,94,595",921,0,0,"5,44,672","1,014","16,03,660","17,66,027"
Honduras,"4,74,590","11,165",0,0,"46,432","1,092","16,60,662","1,62,472"
Armenia,"4,51,831","8,777","4,35,162","7,892","1,52,031","2,953","32,42,901","10,91,164"
Bosnia and Herzegovina,"4,03,615","16,388","3,79,084","8,143","1,24,215","5,044","18,84,721","5,80,036"
Oman,"3,99,449","4,628",0,0,"75,028",869,"2,50,00,000","46,95,724"
Luxembourg,"3,91,232","1,232",0,0,"6,09,044","1,918","45,87,145","71,40,959"
North Macedonia,"3,50,567","9,976","3,37,068","3,523","1,68,436","4,793","22,26,216","10,69,626"
Zambia,"3,49,304","4,069","3,41,316","3,919","17,940",209,"41,12,961","2,11,244"
Kenya,"3,44,130","5,689","3,37,309","1,132","6,122",101,"39,67,062","70,569"
Brunei ,"3,43,719",225,"2,43,601","99,893","7,71,655",505,"7,17,784","16,11,437"
Albania,"3,34,863","3,605","3,30,233","1,025","1,16,825","1,258","19,41,032","6,77,173"
Botswana,"3,30,638","2,801","3,27,049",788,"1,35,443","1,147","20,26,898","8,30,300"
Montenegro,"2,96,542","2,846","2,91,794","1,902","4,72,238","4,532","27,69,281","44,10,034"
Algeria,"2,72,010","6,881","1,83,061","82,068","5,998",152,"2,30,960","5,093"
Nigeria,"2,67,188","3,155","2,59,953","4,080","1,233",15,"57,08,974","26,339"
Zimbabwe,"2,66,359","5,740","2,58,888","1,731","17,373",374,"25,25,756","1,64,744"
Uzbekistan,"2,53,662","1,637","2,41,486","10,539","7,378",48,"13,77,915","40,077"
Afghanistan,"2,34,174","7,996","2,11,080","15,098","5,746",196,"13,90,730","34,125"
Mozambique,"2,33,731","2,250","2,28,805","2,676","7,064",68,"13,71,127","41,437"
Martinique,"2,30,354","1,102",0,0,"6,15,777","2,946","8,28,928","22,15,870"
Laos,"2,18,970",758,0,0,"29,270",101,"12,33,207","1,64,845"
Iceland,"2,09,906",229,0,0,"6,07,731",663,"19,96,384","57,80,036"
Kyrgyzstan,"2,06,897","2,991","1,96,406","7,500","30,750",445,"19,07,195","2,83,460"
Guadeloupe,"2,03,235","1,021",0,"5,08,349","5,08,349","2,554","9,38,039","23,46,306"
El Salvador,"2,01,855","4,230","1,79,410","18,215","30,816",646,"26,10,114","3,98,467"
Trinidad and Tobago,"1,91,496","4,390","1,87,078",28,"1,36,143","3,121","9,13,289","6,49,295"
Maldives,"1,86,694",316,"1,63,687","22,691","3,45,100",584,"22,13,831","40,92,223"
Namibia,"1,72,389","4,106","1,67,099","1,184","65,451","1,559","10,62,663","4,03,460"
Uganda,"1,72,149","3,632","1,00,431","68,086","3,554",75,"30,12,408","62,198"
Ghana,"1,71,889","1,462","1,70,425",2,"5,306",45,"25,41,625","78,456"
Jamaica,"1,56,869","3,756",0,"52,551","52,551","1,258","11,83,986","3,96,633"
Cambodia,"1,39,103","3,056","1,36,044",3,"8,102",178,"30,91,420","1,80,062"
Rwanda,"1,33,518","1,468","1,32,039",11,"9,817",108,"60,21,981","4,42,778"
Cameroon,"1,25,379","1,974","1,23,280",125,"4,492",71,"17,51,774","62,762"
Malta,"1,21,420",885,"1,20,149",386,"2,73,448","1,993","21,70,600","48,88,375"
Barbados,"1,10,578",648,"1,08,647","1,283","3,83,921","2,250","8,14,159","28,26,715"
Angola,"1,07,327","1,937","1,03,419","1,971","3,064",55,"14,99,795","42,818"
Channel Islands,"1,01,717",228,"1,01,321",168,"5,76,421","1,292","12,52,808","70,99,551"
DRC,"99,338","1,468","84,489","13,381","1,043",15,"8,46,704","8,890"
French Guiana,"98,041",420,"11,254","86,367","3,12,065","1,337","6,51,257","20,72,951"
Malawi,"89,535","2,686","87,024","87,024","4,437",133,"6,24,784","30,959"
Senegal,"89,053","1,971","87,024",58,"5,044",112,"11,46,543","64,946"
Ivory Coast,"88,384",835,"87,497",52,"3,186",30,"16,90,934","60,951"
Suriname,"82,588","1,408",809,78,"1,38,378","2,359","2,42,207","4,05,822"
New Caledonia,"80,064",314,567,76,"2,75,214","1,079","98,964","3,40,182"
French Polynesia,"79,254",650,6726,69,"2,78,902","2,287",,
Eswatini,"75,191","1,427","73,116",648,"63,462","1,204","10,48,704","8,85,119"
Guyana,"74,137","1,300","72,013",824,"93,366","1,637","7,33,218","9,23,396"
Belize,"71,409",688,8976,345,"1,73,243","1,669","5,76,016","13,97,453"
Fiji,"69,117",885,"67,226","1,006","75,997",973,"6,72,883","7,39,866"
Madagascar,"68,486","1,426","66,862",198,"2,347",49,"5,31,329","18,210"
Cabo Verde,"64,477",417,"63,755",305,"1,13,580",735,"4,01,622","7,07,482"
Sudan,"63,993","5,046","58,947",0,"1,391",110,"5,62,941","12,240"
Mauritania,"63,848",997,"62,471",380,"13,025",203,"10,09,957","2,06,030"
Bhutan,"62,697",21,"61,564","1,112","79,571",27,"23,03,734","29,23,739"
Syria,"57,743","3,165","54,578",0,"2,982",163,"1,46,269","7,553"
Burundi,"54,721",38,"53,569","1,114","4,334",3,"3,45,742","27,386"
Seychelles,"51,220",172,"51,048",0,"5,15,157","1,730",,
Gabon,"49,051",307,"48,674",70,"21,038",132,"16,21,909","6,95,641"
Andorra,"48,015",165,45,34,"6,19,844","2,130","2,49,838","32,25,256"
Papua New Guinea,"46,864",670,"46,168",26,"5,043",72,"2,49,149","26,813"
Curaçao,"45,986",295,"44,720",971,"2,77,812","1,782","4,96,693","30,00,640"
Aruba,"44,224",292,"42,438","1,494","4,10,969","2,714","1,77,885","16,53,068"
Tanzania,"43,223",846,78,12,683,13,,
Mauritius,"43,025","1,051","41,278",696,"33,752",824,"3,58,675","2,81,374"
Mayotte,"42,027",188,12,7,"1,46,815",657,"1,76,919","6,18,038"
Togo,"39,572",290,"39,281",1,"4,559",33,"8,15,204","93,908"
Guinea,"38,572",468,"37,757",347,"2,782",34,"6,60,107","47,607"
Bahamas,"38,084",844,"36,366",874,"95,087","2,107","2,57,839","6,43,767"
Isle of Man,"38,008",116,0,0,"4,43,335","1,353","1,50,753","17,58,422"
Lesotho,"36,138",723,"25,980","9,435","16,610",332,"4,31,221","1,98,199"
Haiti,"34,667",860,"33,734",73,"2,968",74,"1,32,422","11,337"
Faeroe Islands,"34,658",28,0,0,"7,03,959",569,"7,78,000","1,58,02,409"
Mali,"33,164",743,"32,332",89,"1,544",35,"8,04,909","37,483"
Cayman Islands,"31,472",37,"8,553","22,882","4,67,797",550,"2,22,773","33,11,280"
Saint Lucia,"30,215",410,"29,805",0,"1,63,225","2,215","2,10,983","11,39,752"
Benin,"28,036",163,"27,847",26,"2,193",13,"6,04,310","47,268"
Macao,"27,673",123,"3,487","24,063","41,458",184,"7,850","11,760"
Somalia,"27,334","1,361","13,182","12,791","1,623",81,"4,00,466","23,778"
Micronesia,"26,547",65,0,0,"2,25,953",553,"82,430","7,01,598"
San Marino,"26,185",128,"26,011",46,"7,68,226","3,755","1,96,855","57,75,414"
Solomon Islands,"25,954",199,0,0,"35,989",276,,
Congo,"25,375",386,"24,006",983,"4,377",67,"3,47,815","59,991"
Timor-Leste,"23,460",138,"23,102",220,"17,131",101,"2,78,529","2,03,391"
Burkina Faso,"22,114",400,"21,596",118,"1,001",18,"2,48,995","11,265"
Liechtenstein,"21,574",94,0,0,"5,62,013","2,449","1,12,457","29,29,559"
Gibraltar,"20,550",113,0,0,"6,09,720","3,353","5,34,283","1,58,52,213"
Grenada,"19,693",238,"19,358",97,"1,73,545","2,097","1,82,981","16,12,523"
Bermuda,"18,860",165,"18,685",10,"3,04,493","2,664","10,29,558","1,66,22,128"
South Sudan,"18,819",147,"18,115",557,"1,620",13,"4,10,280","35,313"
Nicaragua,"18,491",225,"4,225","14,041","2,728",33,,
Tajikistan,"17,786",125,"17,264",397,"1,786",13,,
Equatorial Guinea,"17,229",183,"16,907",139,"11,512",122,"3,65,697","2,44,342"
Monaco,"17,181",67,0,0,"4,31,868","1,684","78,646","19,76,875"
Samoa,"17,006",31,"1,605","15,370","84,089",153,"1,87,397","9,26,612"
Tonga,"16,950",13,"15,638","1,299","1,57,310",121,"5,35,009","49,65,327"
Marshall Islands,"16,138",17,"16,121",0,"2,68,711",283,,
Dominica,"16,038",74,"15,964",0,"2,21,691","1,023","2,29,344","31,70,187"
Djibouti,"15,690",189,"15,427",74,"15,441",186,"3,05,941","3,01,094"
CAR,"15,440",113,"15,200",127,"3,078",23,"81,294","16,205"
Gambia,"12,626",372,"12,189",65,"4,935",145,"1,55,686","60,851"
Saint Martin,"12,324",63,0,0,"3,10,194","1,586","1,12,382","28,28,643"
Vanuatu,"12,019",14,"11,976",29,"37,346",44,"24,976","77,606"
Greenland,"11,971",21,"2,761","9,189","2,10,117",369,"1,64,926","28,94,810"
Yemen,"11,945","2,159","9,124",662,383,69,"3,29,592","10,579"
Caribbean Netherlands,"11,682",38,"10,476","1,168","4,38,398","1,426","30,126","11,30,559"
Sint Maarten,"11,051",92,"10,905",54,"2,51,353","2,093","62,056","14,11,454"
Eritrea,"10,189",103,"10,086",0,"2,782",28,"23,693","6,470"
Niger,"9,931",312,"8,890",729,381,12,"2,54,538","9,759"
St. Vincent Grenadines,"9,674",124,"9,493",57,"86,723","1,112","1,14,197","10,23,720"
Guinea-Bissau,"9,614",177,"8,929",508,"4,659",86,"1,45,231","70,385"
Comoros,"9,109",161,"8,939",9,"10,038",177,,
Antigua and Barbuda,"9,106",146,"8,954",6,"91,509","1,467","18,901","1,89,943"
